Transaction Date,Value date,Description,Transaction Type,Amount,dr/cr,Accounting Entries,cr/dr,user to input
2024-07-01,2024-07-01,GIRO CHARGES GV202408313,withdrawals,0.2,cr,bank,dr,
2024-07-01,2024-07-01,GIRO PAYMENT GV202408313 GRAND VIN,withdrawals,575.52,cr,bank,dr,
2024-07-09,2024-07-09,GIRO CHARGES WC1621276,withdrawals,0.2,cr,bank,dr,
2024-07-09,2024-07-09,GIRO CHARGES monopole058371,withdrawals,0.2,cr,bank,dr,
2024-07-09,2024-07-09,GIRO PAYMENT WC1621276 WINE CLIQUE,withdrawals,235.44,cr,bank,dr,
2024-07-09,2024-07-09,GIRO PAYMENT monopole058371 MONOPOLE,withdrawals,196.2,cr,bank,dr,
2024-07-12,2024-07-12,FAST TRANSFER BEXP S$ AP HOUSE PT CPFJUN2024 via PayNow: QBECP240712213538111 CPF JUN 2024,withdrawals,500.0,cr,bank,dr,
2024-07-12,2024-07-12,FAST CHARGES BEXP OCBC AP HOUSE PTE. LTD. QBECP240712213538111,withdrawals,0.5,cr,bank,dr,
2024-07-30,2024-07-30,IBG GIRO OTHR AMERICAN EXPRESS IN 980591938842119974 AMEX SALE POS 5/9,Deposits,470.88,dr,bank,cr,
2024-08-01,2024-07-31,SERVICE CHARGE,withdrawals,35.0,cr,bank,dr,
